No Pain/00-100_CTC03 HR1 15-18 _0.jpg, 0:0, no pain, 0.68628 
No Pain/00-135_R3S M2 BL 27-30_0.jpg, 0:0, pain, 0.52230 
No Pain/00-136_CMS 3 BL 018-021 _0.jpg, 0:0, no pain, 0.74410 
No Pain/00-136_CTC07 BL 03-06 _0.jpg, 0:0, no pain, 0.73196 
No Pain/00-136_DL119 BL 06-09 _0.jpg, 0:0, no pain, 0.80965 
No Pain/00-137_A14 BL 09-12_0.jpg, 0:0, no pain, 0.88528 
No Pain/00-138_A14 BL 00-03_0.jpg, 0:0, no pain, 0.86243 
No Pain/00-138_AD03 BL 0-3_0.jpg, 0:0, pain, 0.80023 
No Pain/00-140_A07 PI 21-24_0.jpg, 0:0, no pain, 0.80984 
No Pain/00-140_CTC05 HR24 21-24 _0.jpg, 0:0, pain, 0.53640 
No Pain/00-141_CTC06 BL 06-09 _0.jpg, 0:0, no pain, 0.51339 
No Pain/00-141_DL124 BL 18-21 _0.jpg, 0:0, no pain, 0.65637 
No Pain/00-142_A01 BL 24-27_0.jpg, 0:0, no pain, 0.82977 
No Pain/00-142_AD05 BL 24-27_0.jpg, 0:0, no pain, 0.64763 
No Pain/00-142_DL126 BL 24-27 _0.jpg, 0:0, no pain, 0.76823 
No Pain/00-143_AD05 T 24-27_0.jpg, 0:0, pain, 0.55780 
No Pain/00-143_CTC01 BL 27-30 _0.jpg, 0:0, no pain, 0.74752 
No Pain/00-143_DL121 BL 18-21 _0.jpg, 0:0, no pain, 0.52506 
No Pain/00-144_DL124 BL 24-27 _0.jpg, 0:0, no pain, 0.79977 
No Pain/00-145_AJ M1 BL 18-21_0.jpg, 0:0, pain, 0.71355 
No Pain/00-145_CTC03 HR24 21-24 _0.jpg, 0:0, no pain, 0.57461 
No Pain/00-146_CTC01 HR6 12-15 _0.jpg, 0:0, no pain, 0.96754 
No Pain/00-147_A10 BL 24-27_0.jpg, 0:0, no pain, 0.92501 
No Pain/00-148_A14 BL 12-15_0.jpg, 0:0, no pain, 0.69085 
No Pain/00-148_DL115 BL 21-24 _0.jpg, 0:0, no pain, 0.53957 
No Pain/00-148_R3S M2 BL 15-18_0.jpg, 0:0, no pain, 0.65277 
No Pain/00-149_AD05 BL 15-18_0.jpg, 0:0, no pain, 0.66589 
No Pain/00-149_CTC02 HR24 09-12 _0.jpg, 0:0, no pain, 0.57875 
No Pain/00-149_R3S M4 BL 15-18_0.jpg, 0:0, pain, 0.76728 
No Pain/00-14_CTC03 HR1 09-12 _0.jpg, 0:0, pain, 0.57653 
No Pain/00-14_DL119 BL 15-18 _0.jpg, 0:0, no pain, 0.60252 
No Pain/00-14_J04 BL 06-09 _0.jpg, 0:0, no pain, 0.71812 
No Pain/00-150_AD01 BL 21-24_0.jpg, 0:0, no pain, 0.67654 
No Pain/00-150_CMM 4 hr1 027-030 _0.jpg, 0:0, no pain, 0.81223 
No Pain/00-151_A02 PI 18-21(w)_0.jpg, 0:0, no pain, 0.92869 
No Pain/00-151_CTC04 BL 06-09 _0.jpg, 0:0, pain, 0.57990 
No Pain/00-151_DL124 BL 15-18 _0.jpg, 0:0, pain, 0.69553 
No Pain/00-152_DL114 BL 15-18 _0.jpg, 0:0, pain, 0.73967 
No Pain/00-153_A01 BL 03-06_0.jpg, 0:0, no pain, 0.93151 
No Pain/00-153_CTC01 BL 18-21 _0.jpg, 0:0, no pain, 0.69128 
No Pain/00-153_DL111 BL 09-12 _0.jpg, 0:0, no pain, 0.61592 
No Pain/00-154_CMS 3 hr1 000-003 _0.jpg, 0:0, pain, 0.73053 
No Pain/00-154_DL125 BL 03-06 _0.jpg, 0:0, no pain, 0.84349 
No Pain/00-154_R3S F4 BL 00-03 _0.jpg, 0:0, pain, 0.75096 
No Pain/00-154_S01 BL 06-09_0.jpg, 0:0, no pain, 0.95714 
No Pain/00-156_A13 BL 21-24_0.jpg, 0:0, pain, 0.61095 
No Pain/00-157_AD06 BL 27-30_0.jpg, 0:0, no pain, 0.56708 
No Pain/00-157_DL119 BL 24-27 _0.jpg, 0:0, pain, 0.73895 
No Pain/00-158_A12 BL 03-06_0.jpg, 0:0, no pain, 0.52636 
No Pain/00-159_AD12 BL 21-24_0.jpg, 0:0, pain, 0.54589 
No Pain/00-159_CBA F4 BL 24-27_0.jpg, 0:0, pain, 0.53929 
No Pain/00-15_AJ M4 BL 00-03 _0.jpg, 0:0, pain, 0.52383 
No Pain/00-160_AD11 BL 9-12_0.jpg, 0:0, pain, 0.56751 
No Pain/00-160_DL111 BL 24-27 _0.jpg, 0:0, no pain, 0.62348 
No Pain/00-161_A13 PI 15-18(w)_0.jpg, 0:0, no pain, 0.95629 
No Pain/00-161_AD07 BL 6-9_0.jpg, 0:0, pain, 0.74802 
No Pain/00-162_A12 BL 06-09_0.jpg, 0:0, no pain, 0.73429 
No Pain/00-162_DL119 Hr1 12-15 _0.jpg, 0:0, pain, 0.80099 
No Pain/00-163_A09 BL 15-18_0.jpg, 0:0, no pain, 0.70551 
No Pain/00-164_CFP 7 BL 006-009_0.jpg, 0:0, pain, 0.63206 
No Pain/00-165_CMM 4 hr1 003-006_0.jpg, 0:0, no pain, 0.57191 
No Pain/00-166_AD04 BL 9-12_0.jpg, 0:0, no pain, 0.82280 
No Pain/00-166_DL124 BL 09-12 _0.jpg, 0:0, no pain, 0.70282 
No Pain/00-167_A07 PI 24-27_0.jpg, 0:0, no pain, 0.83986 
No Pain/00-167_CTC03 HR24 09-12 _0.jpg, 0:0, no pain, 0.68471 
No Pain/00-167_DL126 BL 27-30 _0.jpg, 0:0, pain, 0.82072 
No Pain/00-168_AD05 T 18-21_0.jpg, 0:0, no pain, 0.69986 
No Pain/00-168_CTC03 HR1 27-30 _0.jpg, 0:0, no pain, 0.84844 
No Pain/00-168_S05 BL 21-24_0.jpg, 0:0, no pain, 0.61951 
No Pain/00-169_A11 BL 09-12_0.jpg, 0:0, no pain, 0.80276 
No Pain/00-169_CTC03 BL 00-03 _0.jpg, 0:0, no pain, 0.74253 
No Pain/00-16_DL114 BL 18-21 _0.jpg, 0:0, pain, 0.66982 
No Pain/00-170_A12 PI 15-18(w)_0.jpg, 0:0, no pain, 0.90215 
No Pain/00-170_CTC06 BL 12-15 _0.jpg, 0:0, no pain, 0.86521 
No Pain/00-171_DL124 Hr1 09-12 _0.jpg, 0:0, no pain, 0.74422 
No Pain/00-172_AD12 BL 3-6_0.jpg, 0:0, pain, 0.52554 
No Pain/00-172_DL116 Hr1 12-15 _0.jpg, 0:0, no pain, 0.74715 
No Pain/00-173_A05 PI 06-09(w)_0.jpg, 0:0, no pain, 0.97371 
No Pain/00-173_DL121 BL 21-24 _0.jpg, 0:0, pain, 0.59024 
No Pain/00-174_AD04 BL 6-9_0.jpg, 0:0, pain, 0.78882 
No Pain/00-174_DL116 BL 18-21 _0.jpg, 0:0, no pain, 0.60854 
No Pain/00-175_AD02 BL 9-12_0.jpg, 0:0, no pain, 0.66848 
No Pain/00-176_CFM 9 BL 018-021_0.jpg, 0:0, no pain, 0.57047 
No Pain/00-176_DL125 BL 12-15 _0.jpg, 0:0, no pain, 0.72281 
No Pain/00-177_A16 BL 00-03_0.jpg, 0:0, no pain, 0.89358 
No Pain/00-177_CFM 8 BL 027-030_0.jpg, 0:0, pain, 0.57902 
No Pain/00-177_CTC06 HR6 03-06 _0.jpg, 0:0, no pain, 0.53615 
No Pain/00-178_CTC06 HR24 00-03 _0.jpg, 0:0, no pain, 0.52000 
No Pain/00-178_DL121 Hr1 21-24 _0.jpg, 0:0, no pain, 0.60609 
No Pain/00-179_A15 BL 15-18_0.jpg, 0:0, no pain, 0.97439 
No Pain/00-17_AD04 T 21-24_0.jpg, 0:0, no pain, 0.57048 
No Pain/00-17_CTC03 HR1 12-15 _0.jpg, 0:0, no pain, 0.74259 
No Pain/00-17_J03 CFA 12-15 _0.jpg, 0:0, no pain, 0.50079 
No Pain/00-180_A02 PI 00-03(w)_0.jpg, 0:0, no pain, 0.79277 
No Pain/00-181_DL121 BL 24-27 _0.jpg, 0:0, pain, 0.68095 
No Pain/00-182_A06 PI 03-06w_0.jpg, 0:0, no pain, 0.75568 
No Pain/00-182_CFM 9 BL 009-012_0.jpg, 0:0, no pain, 0.63543 
No Pain/00-182_DL115 BL 03-06 _0.jpg, 0:0, no pain, 0.61525 
No Pain/00-183_CTC05 HR24 03-06 _0.jpg, 0:0, no pain, 0.91781 
No Pain/00-184_CTC07 HR24 12-15 _0.jpg, 0:0, no pain, 0.70192 
No Pain/00-186_CTC06 BL 24-27 _0.jpg, 0:0, no pain, 0.52006 
No Pain/00-187_A10 PI 18-21_0.jpg, 0:0, no pain, 0.85275 
No Pain/00-187_CTC07 BL 15-18 _0.jpg, 0:0, no pain, 0.78090 
No Pain/00-188_CTC05 HR6 12-15 _0.jpg, 0:0, no pain, 0.70130 
No Pain/00-188_DL119 Hr1 27-30 _0.jpg, 0:0, no pain, 0.72760 
No Pain/00-189_DL119 BL 03-06 _0.jpg, 0:0, no pain, 0.84041 
No Pain/00-18_CTC03 HR24 24-27 _0.jpg, 0:0, pain, 0.65330 
No Pain/00-190_A05 PI 12-15_0.jpg, 0:0, no pain, 0.78772 
No Pain/00-190_CTC05 HR24 00-03 _0.jpg, 0:0, no pain, 0.53133 
No Pain/00-190_DL112 BL 21-24 _0.jpg, 0:0, no pain, 0.76784 
No Pain/00-191_AD03 BL 9-12_0.jpg, 0:0, no pain, 0.61183 
No Pain/00-191_CTC06 BL 27-30 _0.jpg, 0:0, no pain, 0.62420 
No Pain/00-192_AD02 BL 3-6_0.jpg, 0:0, pain, 0.75656 
No Pain/00-192_CTC03 BL 21-24 _0.jpg, 0:0, no pain, 0.50389 
No Pain/00-192_DL117 BL 06-09 _0.jpg, 0:0, pain, 0.60586 
No Pain/00-195_CTC06 HR6 18-21 _0.jpg, 0:0, no pain, 0.61045 
No Pain/00-198_A12 BL 12-15_0.jpg, 0:0, no pain, 0.68381 
No Pain/00-198_AD10 BL 9-12_0.jpg, 0:0, no pain, 0.53607 
No Pain/00-198_CMS 3 BL 003-006 _0.jpg, 0:0, no pain, 0.78823 
No Pain/00-199_A05 PI 00-03_0.jpg, 0:0, no pain, 0.86566 
No Pain/00-199_CFM 10 BL 003-006_0.jpg, 0:0, no pain, 0.91176 
No Pain/00-19_J04 BL 21-24 _0.jpg, 0:0, no pain, 0.77825 
No Pain/00-1_AD10 BL 15-18_0.jpg, 0:0, pain, 0.59369 
No Pain/00-200_DL114 BL 03-06 _0.jpg, 0:0, no pain, 0.67472 
No Pain/00-201_A07 PI 27-30(w)_0.jpg, 0:0, no pain, 0.68649 
No Pain/00-201_CTC05 HR6 09-12 _0.jpg, 0:0, no pain, 0.72796 
No Pain/00-201_DL114 BL 00-03 _0.jpg, 0:0, no pain, 0.51929 
No Pain/00-202_A13 PI 12-15(w)_0.jpg, 0:0, no pain, 0.71171 
No Pain/00-203_DL121 BL 00-03 _0.jpg, 0:0, pain, 0.60389 
No Pain/00-204_CFM 9 hr1 027-030 _0.jpg, 0:0, pain, 0.50230 
No Pain/00-204_CTC03 HR1 18-21 _0.jpg, 0:0, no pain, 0.56837 
No Pain/00-205_A02 PI 06-09(w)_0.jpg, 0:0, pain, 0.54681 
No Pain/00-205_CTC03 HR1 00-03 _0.jpg, 0:0, pain, 0.51943 
No Pain/00-206_DL116 Hr1 06-09 _0.jpg, 0:0, no pain, 0.71179 
No Pain/00-206_S06 PI 12-15_0.jpg, 0:0, no pain, 0.82594 
No Pain/00-207_CFM 11 BL 021-024_0.jpg, 0:0, pain, 0.81733 
No Pain/00-207_CTC06 HR24 24-27 _0.jpg, 0:0, pain, 0.66326 
No Pain/00-208_A13 PI 03-06(w)_0.jpg, 0:0, no pain, 0.84455 
No Pain/00-209_CTC03 HR24 00-03 _0.jpg, 0:0, no pain, 0.74471 
No Pain/00-20_CTC01 HR24 09-12 _0.jpg, 0:0, no pain, 0.65172 
No Pain/00-210_DL111 BL 18-21 _0.jpg, 0:0, no pain, 0.70931 
No Pain/00-212_CFP 13 hr4 000-003_0.jpg, 0:0, no pain, 0.70585 
No Pain/00-213_CTC07 BL 27-30 _0.jpg, 0:0, no pain, 0.77166 
No Pain/00-213_DL123 BL 15-18 _0.jpg, 0:0, no pain, 0.76307 
No Pain/00-214_DL117 BL 03-06 _0.jpg, 0:0, no pain, 0.57865 
No Pain/00-214_S02 BL 03-06_0.jpg, 0:0, pain, 0.56361 
No Pain/00-215_A12 BL 00-03_0.jpg, 0:0, no pain, 0.82225 
No Pain/00-217_CTC06 BL 09-12 _0.jpg, 0:0, no pain, 0.74193 
No Pain/00-218_DL112 BL 12-15 _0.jpg, 0:0, no pain, 0.85974 
No Pain/00-219_A06 BL 27-30_0.jpg, 0:0, no pain, 0.92164 
No Pain/00-21_CTC06 HR6 15-18 _0.jpg, 0:0, no pain, 0.89939 
No Pain/00-21_DL121 Hr1 24-27 _0.jpg, 0:0, no pain, 0.73652 
No Pain/00-220_CTC02 BL 00-03 _0.jpg, 0:0, pain, 0.54337 
No Pain/00-223_CFM 11 BL 027-030_0.jpg, 0:0, no pain, 0.73122 
No Pain/00-223_DL115 BL 00-03 _0.jpg, 0:0, no pain, 0.50552 
No Pain/00-224_CTC02 HR24 00-03 _0.jpg, 0:0, no pain, 0.70644 
No Pain/00-224_DL118 BL 09-12 _0.jpg, 0:0, no pain, 0.67765 
No Pain/00-225_A02 PI 27-30_0.jpg, 0:0, no pain, 0.83483 
No Pain/00-226_A07 PI 27-30_0.jpg, 0:0, no pain, 0.95044 
No Pain/00-228_A13 PI 21-24(w)_0.jpg, 0:0, pain, 0.62550 
No Pain/00-229_DL112 Hr1 00-03 _0.jpg, 0:0, pain, 0.50952 
No Pain/00-22_J06 CFA 03-06 _0.jpg, 0:0, no pain, 0.94214 
No Pain/00-230_A13 BL 06-09_0.jpg, 0:0, no pain, 0.88430 
No Pain/00-230_DL124 Hr1 03-06 _0.jpg, 0:0, no pain, 0.65252 
No Pain/00-231_A11 BL 12-15_0.jpg, 0:0, no pain, 0.76491 
No Pain/00-232_A06 BL 06-09_0.jpg, 0:0, no pain, 0.80757 
No Pain/00-232_DL125Hr1 06-09 _0.jpg, 0:0, no pain, 0.59175 
No Pain/00-233_CFM 17 BL 000-003_0.jpg, 0:0, no pain, 0.81362 
No Pain/00-234_A06 PI 06-09_0.jpg, 0:0, pain, 0.51980 
No Pain/00-235_CFM 16 BL 021-024_0.jpg, 0:0, pain, 0.61572 
No Pain/00-236_A06 BL 21-24_0.jpg, 0:0, no pain, 0.57342 
No Pain/00-236_CFM 11 hr1 021-024_0.jpg, 0:0, no pain, 0.56281 
No Pain/00-236_DL124 BL 03-06 _0.jpg, 0:0, pain, 0.53861 
No Pain/00-237_DL114 BL 27-30 _0.jpg, 0:0, no pain, 0.50694 
No Pain/00-239_DL125 BL 24-27 _0.jpg, 0:0, no pain, 0.60166 
No Pain/00-23_CTC03 HR24 06-09 _0.jpg, 0:0, no pain, 0.90209 
No Pain/00-23_J01 AMG 06-09 _0.jpg, 0:0, pain, 0.67963 
No Pain/00-240_DL125 BL 00-03 _0.jpg, 0:0, pain, 0.69865 
No Pain/00-242_DL121 BL 27-30 _0.jpg, 0:0, no pain, 0.70038 
No Pain/00-243_DL111 BL 15-18 _0.jpg, 0:0, pain, 0.55639 
No Pain/00-247_A07 PI 24-27_0.jpg, 0:0, no pain, 0.95657 
No Pain/00-249_CFM 11 hr4 006-009_0.jpg, 0:0, no pain, 0.68635 
No Pain/00-252_CFP 12 hr1 015-018_0.jpg, 0:0, no pain, 0.88264 
No Pain/00-257_S02 BL 15-18_0.jpg, 0:0, no pain, 0.98903 
No Pain/00-258_DL124 BL 00-03 _0.jpg, 0:0, no pain, 0.75237 
No Pain/00-25_AJ M4 BL 27-30 _0.jpg, 0:0, pain, 0.57256 
No Pain/00-25_CTC08 BL 21-24 _0.jpg, 0:0, no pain, 0.76832 
No Pain/00-261_A17 BL 12-15_0.jpg, 0:0, no pain, 0.66603 
No Pain/00-263_A12 PI 18-21_0.jpg, 0:0, no pain, 0.68861 
No Pain/00-265_A07 BL 06-09_0.jpg, 0:0, no pain, 0.87423 
No Pain/00-266_A16 PI 18-21_0.jpg, 0:0, no pain, 0.93319 
No Pain/00-267_CFM 17 hr4 024-027_0.jpg, 0:0, no pain, 0.74530 
No Pain/00-267_S05 BL 03-06_0.jpg, 0:0, no pain, 0.78260 
No Pain/00-268_CFM 16 hr1 006-009_0.jpg, 0:0, no pain, 0.78192 
No Pain/00-268_DL121 BL 06-09 _0.jpg, 0:0, no pain, 0.54300 
No Pain/00-26_DL120 BL 27-30 _0.jpg, 0:0, no pain, 0.65853 
No Pain/00-26_J03 BL 00-03 _0.jpg, 0:0, pain, 0.66767 
No Pain/00-270_CMS 20 BL 012-015_0.jpg, 0:0, no pain, 0.97558 
No Pain/00-273_CFS 18 hr1 021-024_0.jpg, 0:0, pain, 0.50637 
No Pain/00-274_A12 PI 15-18_0.jpg, 0:0, no pain, 0.67690 
No Pain/00-275_DL116 BL 03-06 _0.jpg, 0:0, pain, 0.52501 
No Pain/00-278_A11 BL 18-21_0.jpg, 0:0, no pain, 0.77260 
No Pain/00-278_DL121 Hr1 06-09 _0.jpg, 0:0, no pain, 0.68097 
No Pain/00-279_DL121 BL 09-12 _0.jpg, 0:0, no pain, 0.66335 
No Pain/00-27_J05 CFA 15-18 _0.jpg, 0:0, pain, 0.70056 
No Pain/00-280_A10 BL 00-03_0.jpg, 0:0, pain, 0.51609 
No Pain/00-282_A07 BL 00-03_0.jpg, 0:0, no pain, 0.75554 
No Pain/00-284_A02 BL 03-06_0.jpg, 0:0, pain, 0.55462 
No Pain/00-285_A07 PI 12-15(w)_0.jpg, 0:0, no pain, 0.87380 
No Pain/00-286_DL111 Hr1 24-27 _0.jpg, 0:0, no pain, 0.72822 
No Pain/00-287_A16 BL 24-27_0.jpg, 0:0, no pain, 0.77426 
No Pain/00-288_DL121 Hr1 09-12 _0.jpg, 0:0, pain, 0.65715 
No Pain/00-289_A07 BL 24-27_0.jpg, 0:0, no pain, 0.94614 
No Pain/00-28_CFM 10 hr4 000-003_0.jpg, 0:0, no pain, 0.86238 
No Pain/00-28_CTC03 HR1 21-24 _0.jpg, 0:0, no pain, 0.69128 
No Pain/00-28_J01 CFA 12-15 _0.jpg, 0:0, no pain, 0.65202 
No Pain/00-290_A12 BL 15-18_0.jpg, 0:0, pain, 0.57544 
No Pain/00-292_DL111 BL 21-24 _0.jpg, 0:0, pain, 0.53299 
No Pain/00-296_CFM 10 BL 024-027_0.jpg, 0:0, pain, 0.69142 
No Pain/00-296_DL121 Hr1 00-03 _0.jpg, 0:0, pain, 0.51839 
No Pain/00-297_A02 BL 15-18_0.jpg, 0:0, no pain, 0.67207 
No Pain/00-298_S06 PI 24-27(w)_0.jpg, 0:0, no pain, 0.82414 
No Pain/00-299_DL124 Hr1 00-03 _0.jpg, 0:0, pain, 0.68126 
No Pain/00-29_CTC07 BL 21-24 _0.jpg, 0:0, pain, 0.66465 
No Pain/00-29_J01 CFA 03-06 _0.jpg, 0:0, no pain, 0.61143 
No Pain/00-2_AD06 BL 0-3_0.jpg, 0:0, no pain, 0.56846 
No Pain/00-2_CTC06 HR24 06-09 _0.jpg, 0:0, pain, 0.51824 
No Pain/00-300_DL120 BL 21-24 _0.jpg, 0:0, pain, 0.85870 
No Pain/00-301_CFS 19 BL 015-018_0.jpg, 0:0, no pain, 0.79629 
No Pain/00-301_DL117 BL 24-27 _0.jpg, 0:0, no pain, 0.71686 
No Pain/00-305_S06 PI 18-21(w)_0.jpg, 0:0, no pain, 0.59116 
No Pain/00-307_A01 BL 09-12_0.jpg, 0:0, pain, 0.52328 
No Pain/00-308_DL125 BL 09-12 _0.jpg, 0:0, no pain, 0.58770 
No Pain/00-309_DL120 BL 09-12 _0.jpg, 0:0, no pain, 0.67617 
No Pain/00-30_AD11 T 18-21_0.jpg, 0:0, pain, 0.58794 
No Pain/00-30_DL118 BL 18-21 _0.jpg, 0:0, no pain, 0.53738 
No Pain/00-310_DL112 Hr1 12-15 _0.jpg, 0:0, pain, 0.55612 
No Pain/00-312_CMS 20 hr1 006-009_0.jpg, 0:0, no pain, 0.98459 
No Pain/00-312_DL116 BL 00-03 _0.jpg, 0:0, no pain, 0.70392 
No Pain/00-314_CMS 21 hr1 021-024_0.jpg, 0:0, no pain, 0.98151 
No Pain/00-315_S05 BL 24-27_0.jpg, 0:0, no pain, 0.94969 
No Pain/00-316_DL112 BL 18-21 _0.jpg, 0:0, no pain, 0.66738 
No Pain/00-317_A13 PI 24-27(w)_0.jpg, 0:0, no pain, 0.95388 
No Pain/00-317_R3S F1 BL 12-15_0.jpg, 0:0, no pain, 0.64913 
No Pain/00-318_A06 BL 15-18_0.jpg, 0:0, no pain, 0.75884 
No Pain/00-318_DL125 Hr1 09-12 _0.jpg, 0:0, pain, 0.58284 
No Pain/00-31_CTC06 HR6 09-12 _0.jpg, 0:0, no pain, 0.81438 
